,Time,K,N,Learning Rate,Train AUC,Test AUC
350,1.2540490040000805,1,6,0.04,0.9521999955177307,0.8492000102996826
351,1.2567720559995905,2,6,0.04,0.9531000256538391,0.8475000262260437
352,0.9787670130003789,3,6,0.04,0.9538000226020813,0.8486999869346619
353,1.1080719579999823,4,6,0.04,0.9556999802589417,0.8500000238418579
354,0.8766667260001668,5,6,0.04,0.957099974155426,0.8525000214576721
355,0.8852720429999863,6,6,0.04,0.9502000212669373,0.8452000021934509
356,0.8757578339996144,7,6,0.04,0.9508000016212463,0.8449000120162964
357,0.9005527829999664,8,6,0.04,0.9516000151634216,0.847599983215332
358,0.8761973579998994,9,6,0.04,0.9538000226020813,0.8478000164031982
359,0.8803560030000881,10,6,0.04,0.9545000195503235,0.8492000102996826
360,0.8755914289999964,1,7,0.04,0.9445000290870667,0.8396999835968018
361,1.2000156770000103,2,7,0.04,0.9557999968528748,0.8499000072479248
362,1.2523024619999887,3,7,0.04,0.9575999975204468,0.8501999974250793
363,0.8710789690003367,4,7,0.04,0.9539999961853027,0.8474000096321106
364,0.8781887329996607,5,7,0.04,0.9520000219345093,0.8486999869346619
365,0.9443438059997789,6,7,0.04,0.9527999758720398,0.8481000065803528
366,0.867508689999795,7,7,0.04,0.9509000182151794,0.8442999720573425
367,0.8670234219998747,8,7,0.04,0.9503999948501587,0.8464000225067139
368,0.863991349999651,9,7,0.04,0.9559000134468079,0.8490999937057495
369,0.8749884829999246,10,7,0.04,0.9519000053405762,0.8453999757766724
370,0.9056705720004175,1,8,0.04,0.953000009059906,0.8478000164031982
371,0.9137854209998295,2,8,0.04,0.9488999843597412,0.84579998254776
372,1.2257195060001322,3,8,0.04,0.9575999975204468,0.8515999913215637
373,0.8705944369999088,4,8,0.04,0.9509999752044678,0.84579998254776
374,1.1022517500000504,5,8,0.04,0.9570000171661377,0.8517000079154968
375,0.8696389380002074,6,8,0.04,0.9485999941825867,0.8434000015258789
376,0.8834138830002303,7,8,0.04,0.9555000066757202,0.8503999710083008
